Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022
		Tous	1.33826E7																						
constipation	EUR		500000.0	0%	0%	Faible	9	"0,22"	"1,59"																
constipation and hemorrhoids	EUR		5000.0	0%	0%	Faible	10	"0,50"	"2,06"																
diet to shrink hemorrhoids	EUR																								
easy meal planning	EUR		5000.0	0%	0%	Moyen	53	"1,56"	"7,74"																
fiber and constipation in toddlers	EUR																								
fiber cure for constipation	EUR																								
fiber diet	EUR		50000.0	0%	0%	Faible	21	"0,10"	"1,76"																
fiber recipe	EUR		500.0	0%	0%	Faible	17	"0,56"	"3,41"																
geologie skincare	EUR		5000.0	0%	0%	Élevé	100	"0,90"	"15,83"																
healthy recipes	EUR		500000.0	0%	0%	Faible	24	"0,53"	"4,19"																
hemorrhoid keto	EUR		50.0	0%	0%	Faible	1																		
hemorrhoid remedies	EUR		5000.0	0%	0%	Élevé	100	"0,09"	"0,84"																
hemorrhoid removal	EUR		50000.0	0%	0%	Moyen	46	"0,58"	"2,98"																
hemorrhoid symptoms and causes	EUR		50.0	0%	0%	Faible	9	"0,02"	"0,50"																
hemorrhoids	EUR		5000000.0	0%	0%	Faible	6	"0,11"	"1,03"																
hemorrhoids causes and remedies	EUR																								
hemorrhoids treatment	EUR		500000.0	0%	0%	Élevé	100	"0,27"	"1,11"																
hemorroide	EUR		500000.0	0%	0%	Faible	7	"0,01"	"0,10"																
high fiber diet	EUR		50000.0	0%	0%	Faible	29	"0,11"	"1,73"																
high fiber recipes for weight loss	EUR		500.0	0%	-90%	Élevé	72	"0,77"	"3,66"																
home remedies for hemorrhoids	EUR		50000.0	0%	0%	Élevé	79	"0,05"	"0,64"																
home remedies for hemorrhoids treatment and prevention	EUR																								
how do you get rid of hemorrhoids	EUR		5000.0	0%	0%	Faible	21	"0,20"	"0,84"																
how to cure hemorrhoids	EUR		50000.0	0%	0%	Moyen	63	"0,14"	"0,81"																
how to cure hemorrhoids at home	EUR		500.0	0%	0%	Élevé	74	"0,03"	"0,66"																
how to get rid of hemorrhoids	EUR		50000.0	0%	0%	Faible	32	"0,18"	"0,87"																
how to get rid of hemorrhoids in your body	EUR																								
keto	EUR		500000.0	0%	0%	Élevé	82	"0,36"	"6,38"																
melatonin	EUR		5000000.0	0%	0%	Élevé	100	"0,29"	"2,13"																
mental tips for taking action	EUR																								
natural remedies for hemorrhoids	EUR		5000.0	0%	0%	Élevé	100	"0,05"	"0,76"																
vitamins	EUR		500000.0	0%	0%	Élevé	81	"0,21"	"4,41"																
what not to eat	EUR		500.0	0%	0%	Faible	1	"0,70"	"2,83"																
what to eat	EUR		50000.0	0%	0%	Faible	2	"0,44"	"3,81"																
what to eat for hemorrhoids	EUR		500.0	0%	0%	Faible	16	"0,13"	"0,87"																
